,time,phoneme,consonantal,back,anterior,open,close,stop,nasal,continuant,lateral,flap,trill,voice,strident,labial,dental,velar,pause,vocalic
0,0.0,l,0.81805426,0.78069,0.35655198,0.45625678,0.12606297,0.6283551,0.00092200626,0.64089763,0.020108234,0.9015034,1.7685805e-07,0.74666095,0.92386454,0.73600405,0.46918064,0.00016034265,0.0013249863,0.6483482
1,0.025,o,0.8213798,0.769011,0.34698144,0.5751696,0.18830363,0.66647243,0.005583893,0.5653124,0.019836891,0.8924959,3.3120718e-06,0.892533,0.91609836,0.82100683,0.39421993,0.00012897342,3.676239e-05,0.6964441
2,0.05,o,0.8300403,0.709671,0.21512564,0.6075447,0.23776156,0.74031574,0.011222231,0.6876938,0.007970587,0.83340865,6.439256e-07,0.8933335,0.86065334,0.8413517,0.5183943,0.00025341453,1.00084035e-05,0.7165229
3,0.07500000000000001,o,0.83530223,0.7027742,0.13881806,0.59742594,0.4510245,0.66828275,0.011082299,0.69154376,0.0013164136,0.7867358,5.879819e-07,0.9174459,0.7146643,0.8240084,0.7456392,6.620779e-05,1.0384991e-05,0.74864775
4,0.1,o,0.84551483,0.7360522,0.20320328,0.59467065,0.5736786,0.26044753,0.014121112,0.5727229,0.00053378777,0.74234176,3.207295e-08,0.93463916,0.4655744,0.79543823,0.4581696,3.9491997e-06,8.310362e-06,0.7441098
5,0.125,o,0.8022636,0.67105496,0.087652534,0.5880017,0.51755375,0.49086973,0.01939073,0.59739697,0.00021933622,0.8113181,1.5619357e-09,0.900346,0.6036502,0.8301284,0.35750404,2.0597083e-05,8.036295e-05,0.6930305
6,0.15000000000000002,o,0.8024565,0.6686825,0.10516716,0.6965659,0.5341551,0.40326983,0.011814768,0.6214247,6.57816e-05,0.75361174,7.0496187e-09,0.9172221,0.5019006,0.8679983,0.43425864,2.0649225e-06,4.2910844e-05,0.6868037
7,0.17500000000000002,o,0.7982117,0.6789213,0.090542495,0.77478254,0.6706393,0.32500798,0.0077768047,0.6029711,2.2276223e-05,0.63677657,1.7494662e-08,0.93031627,0.43633845,0.8747517,0.54950595,8.0053337e-07,4.0435127e-05,0.67166716
8,0.2,o,0.79055816,0.7037745,0.117258236,0.8300856,0.71542287,0.32451546,0.0071179294,0.5111133,2.2691604e-05,0.6673306,1.6665812e-08,0.9387437,0.62562335,0.84165347,0.42393923,3.1461067e-07,1.5008966e-05,0.6481948
9,0.225,o,0.77877545,0.69025755,0.0969843,0.8435373,0.6666855,0.3429122,0.00783331,0.4890343,5.5393866e-05,0.8022291,1.4848942e-08,0.92815477,0.80558205,0.81488574,0.5078778,6.455575e-07,1.2482276e-05,0.5945963
10,0.25,o,0.80182195,0.66182387,0.06074891,0.8459804,0.57858974,0.27387306,0.009884334,0.6535017,3.775281e-05,0.81854993,2.1040012e-08,0.90561575,0.79947984,0.82224953,0.6264483,1.836787e-06,3.0525625e-05,0.55645263
11,0.275,o,0.8159488,0.63277334,0.08092584,0.8533897,0.60665405,0.17133254,0.009784237,0.6373431,2.8660505e-05,0.81135005,4.0589505e-08,0.90322816,0.6205594,0.83521307,0.7701293,7.244104e-07,7.85987e-06,0.5685893
12,0.30000000000000004,o,0.8137442,0.6187637,0.12347167,0.8752292,0.48077303,0.25312093,0.016726498,0.5317349,1.7210126e-05,0.81296414,1.886252e-08,0.9131771,0.62602204,0.8020332,0.50617474,8.4853376e-08,3.280938e-05,0.55257523
13,0.325,o,0.7886573,0.5631847,0.13414548,0.890991,0.26460707,0.37359533,0.042982534,0.49245742,0.00013029644,0.7402651,2.1050168e-08,0.89928436,0.83868617,0.81097233,0.35821322,2.0950647e-06,3.7575912e-05,0.5324753
14,0.35000000000000003,o,0.7751502,0.46813992,0.061354004,0.8793764,0.25651976,0.5696801,0.08076873,0.6859379,0.0002774738,0.61375356,4.1732036e-08,0.86568224,0.87193394,0.85688084,0.37317306,0.0009451922,0.0016482804,0.4827374
15,0.375,l,0.77611524,0.41138402,0.1406284,0.92855126,0.5367191,0.54217607,0.114216164,0.6587836,0.00050637976,0.53102595,1.5045935e-06,0.88772154,0.7123334,0.8930575,0.67813164,0.00014068079,1.8669203e-05,0.53817344
16,0.4,l,0.7864658,0.42862964,0.2134974,0.9482068,0.6570592,0.49010056,0.20345712,0.61923903,0.0017977605,0.52199066,7.0278185e-07,0.8895022,0.54267377,0.8451899,0.48451394,7.6487695e-06,4.913963e-06,0.5785359
17,0.42500000000000004,l,0.77104664,0.4051297,0.12961523,0.9382524,0.633491,0.49491638,0.43711874,0.6980155,0.0013817081,0.59189564,3.2361474e-06,0.83664745,0.5403436,0.8367211,0.7093976,0.0008993865,3.464968e-05,0.65805167
18,0.45,l,0.7888154,0.41638,0.12664326,0.9437016,0.74466366,0.32845742,0.668007,0.6704609,0.0051049064,0.5877037,6.124078e-05,0.82180387,0.0910566,0.8343513,0.7421825,0.00021089811,1.3307633e-06,0.78120506
19,0.47500000000000003,l,0.73647755,0.45987812,0.18152682,0.947579,0.6467714,0.25036204,0.75555164,0.6804013,0.02659854,0.7814991,0.007804737,0.7063071,0.18059532,0.64372826,0.6758955,0.0050589596,5.8406813e-06,0.77120936
